1430764307 || [Thread:1] || INFO || Server myself: Server connection established
1430764307 || [Thread:1] || INFO || connecting to server 0
1430764307 || [Thread:1] || INFO || CONTROL: connecting to serverName at 0, client: false
1430764307 || [Thread:1] || INFO || Sending Message to serverName:	client4--CONNECT--4
1430764307 || [Thread:9] || INFO || Server myself: New incoming connection accepted from localhost
1430764307 || [Thread:9] || INFO || Server myself: New incoming connection accepted from localhost
1430764307 || [Thread:1] || INFO || Received PUT==a==123 from master
1430764307 || [Thread:1] || INFO || Sending PUT==a==123
1430764307 || [Thread:1] || INFO || Sending Message to serverName:	client4--OPERATION--PUT==a==123;;;0=0:
1430764307 || [Thread:11] || FINE || Trying to parse: 0--WRITE_RESULT--0=5:
1430764307 || [Thread:11] || INFO || Write completed
1430764314 || [Thread:1] || INFO || Received GETb from master
1430764314 || [Thread:1] || INFO || Requesting b
1430764314 || [Thread:1] || INFO || Sending Message to serverName:	client4--READ--b;;;0=5:
1430764314 || [Thread:11] || FINE || Trying to parse: 0--READ_RESULT--456;;;0=5:<3,0>=0:<2,0>=0:<4,0>=1:
1430764314 || [Thread:11] || INFO || Received url = 456
1430764314 || [Thread:1] || INFO || Received EXIT from master
1430764314 || [Thread:1] || INFO || shutting down cause told to
1430764314 || [Thread:1] || INFO || master down, shutting myself down
