1430764265 || [Thread:1] || INFO || Server myself: Server connection established
1430764265 || [Thread:1] || INFO || connecting to server 4
1430764265 || [Thread:1] || INFO || CONTROL: connecting to serverName at 4, client: false
1430764265 || [Thread:1] || INFO || Sending Message to serverName:	client9--CONNECT--9
1430764265 || [Thread:9] || INFO || Server myself: New incoming connection accepted from localhost
1430764265 || [Thread:9] || INFO || Server myself: New incoming connection accepted from localhost
1430764273 || [Thread:1] || INFO || Received GETc0 from master
1430764273 || [Thread:1] || INFO || Requesting c0
1430764273 || [Thread:1] || INFO || Sending Message to serverName:	client9--READ--c0;;;0=0:
1430764273 || [Thread:11] || FINE || Trying to parse: <5,0>--READ_RESULT--u1;;;<5,0>=0:0=5:<3,0>=0:<2,0>=0:<4,0>=1:
1430764273 || [Thread:11] || INFO || Received url = u1
1430764273 || [Thread:1] || INFO || Received CONNECT0 from master
1430764273 || [Thread:1] || INFO || Closing connection to old server
1430764273 || [Thread:1] || INFO || connecting to server 0
1430764273 || [Thread:1] || INFO || CONTROL: connecting to serverName at 0, client: false
1430764273 || [Thread:1] || INFO || Sending Message to serverName:	client9--CONNECT--9
1430764273 || [Thread:9] || INFO || Server myself: New incoming connection accepted from localhost
1430764273 || [Thread:1] || INFO || Received GETc0 from master
1430764273 || [Thread:1] || INFO || Requesting c0
1430764273 || [Thread:1] || INFO || Sending Message to serverName:	client9--READ--c0;;;<5,0>=0:0=5:<3,0>=0:<2,0>=0:<4,0>=1:
1430764273 || [Thread:11] || FINE || Trying to parse: 0--READ_RESULT--ERR_DEP;;;<5,0>=0:0=6:<3,0>=0:<2,0>=0:<4,0>=0:
1430764273 || [Thread:11] || INFO || Received url = ERR_DEP
1430764273 || [Thread:1] || INFO || Received EXIT from master
1430764273 || [Thread:1] || INFO || shutting down cause told to
1430764273 || [Thread:1] || INFO || master down, shutting myself down
